Row Type,Action,Ad group status,Campaign ID,Campaign,Ad group ID,Ad group,Ad group type,Ad rotation,Default max. CPC,CPC%,Max. CPM,Max. CPV,Target CPA,Target CPM,TrueView target CPV,Label,Tracking template,Final URL suffix,Custom parameter,Target ROAS
Ad group,Add,Paused,,Search - BatchCutout - ES - Alternatives,,remove bg alternativa,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Paused,,Search - BatchCutout - ES - Alternatives,,photoroom alternativa,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Paused,,Search - BatchCutout - ES - Alternatives,,pixelcut alternativa,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Paused,,Search - BatchCutout - ES - Alternatives,,canva alternativa,Standard,Optimize,,,,,,,,,,,,
