Row Type,Action,Ad group status,Campaign ID,Campaign,Ad group ID,Ad group,Ad group type,Ad rotation,Default max. CPC,CPC%,Max. CPM,Max. CPV,Target CPA,Target CPM,TrueView target CPV,Label,Tracking template,Final URL suffix,Custom parameter,Target ROAS
Ad group,Add,Paused,,Search - BatchCutout - EN - Agencies,,ecommerce assistants,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Paused,,Search - BatchCutout - EN - Agencies,,product listing services,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Paused,,Search - BatchCutout - EN - Agencies,,bulk product photo editing,Standard,Optimize,,,,,,,,,,,,
