Row Type,Action,Ad group status,Campaign ID,Campaign,Ad group ID,Ad group,Ad group type,Ad rotation,Default max. CPC,CPC%,Max. CPM,Max. CPV,Target CPA,Target CPM,TrueView target CPV,Label,Tracking template,Final URL suffix,Custom parameter,Target ROAS
Ad group,Add,Enabled,,Search - BatchCutout - Alternatives,,remove.bg alternative,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search - BatchCutout - Alternatives,,Photoroom alternative,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search - BatchCutout - Alternatives,,Pixelcut alternative,Standard,Optimize,,,,,,,,,,,,
