Row Type,Action,Ad group status,Campaign ID,Campaign,Ad group ID,Ad group,Ad group type,Ad rotation,Default max. CPC,CPC%,Max. CPM,Max. CPV,Target CPA,Target CPM,TrueView target CPV,Label,Tracking template,Final URL suffix,Custom parameter,Target ROAS
Ad group,Add,Paused,,Search - BatchCutout - EN - Catalogs,,product catalog cleanup,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Paused,,Search - BatchCutout - EN - Catalogs,,supplier photo cleanup,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Paused,,Search - BatchCutout - EN - Catalogs,,sku variant photos,Standard,Optimize,,,,,,,,,,,,
