Row Type,Action,Keyword status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Negative keyword,Type
Negative keyword,Add,,Campaign,,Search - BatchCutout - PT - Fundo Branco,,,,gratis download,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - PT - Fundo Branco,,,,crack,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - PT - Fundo Branco,,,,torrent,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - PT - Fundo Branco,,,,photoshop curso,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - PT - Fundo Branco,,,,gimp,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - PT - Fundo Branco,,,,wallpaper,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - PT - Fundo Branco,,,,fundo branco parede,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - PT - Fundo Branco,,,,fundo branco foto passe,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - PT - Fundo Branco,,,,documentos,Phrase match
