Row Type,Action,Ad group status,Campaign ID,Campaign,Ad group ID,Ad group,Ad group type,Ad rotation,Default max. CPC,CPC%,Max. CPM,Max. CPV,Target CPA,Target CPM,TrueView target CPV,Label,Tracking template,Final URL suffix,Custom parameter,Target ROAS
Ad group,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,shopify fotos producto,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,woocommerce fotos producto,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,etsy fotos producto,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,ebay fotos producto,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,amazon fotos producto,Standard,Optimize,,,,,,,,,,,,
